Textbox36,TipoLC,citName,Textbox39,Textbox37,Textbox40,FechaCierre1,Textbox38,rbiDescription,rbiGoodAndService,Unidad_de_Medida,Cantidad,ProductoName,Level1,Level2,Level3
656-29-LP19,Licitacion Publica igual o superior a 1.000 UTM e inferior a 2.000 UTM (LP),Region de los Lagos ,SERVIU X Region,P.P. N°27-2019 PPP 28°LLAMADO FRUTILLAR,13/06/2019 08:11:04,05/07/2019 10:30:00,1,1,1,1,1,1,1,1,1
656-30-LQ19,Licitacion Publica igual o superior a 2.000 UTM e inferior a 5.000 UTM,Region de los Lagos ,SERVIU X Region,P.P. N°28-2019 PPP 28°LLAMADO PUERTO VARAS,13/06/2019 08:11:38,05/07/2019 11:00:00,1,1,1,1,1,1,1,1,1
656-31-LR19,Licitacion Publica Mayor a 5000 UTM,Region de los Lagos ,SERVIU X Region,P.P. N°29-2019 PPP 28°LLAMADO HUALAIHUe,13/06/2019 08:12:00,26/07/2019 11:00:00,1,1,1,1,1,1,1,1,1
656-32-LR19,Licitacion Publica Mayor a 5000 UTM,Region de los Lagos ,SERVIU X Region,P.P. N°30-2019 PPP 28°LLAMADO PUERTO MONTT,13/06/2019 08:12:19,05/07/2019 12:00:00,1,1,1,1,1,1,1,1,1
656-33-LQ19,Licitacion Publica igual o superior a 2.000 UTM e inferior a 5.000 UTM,Region de los Lagos ,SERVIU X Region,"P.P. N 31-2019 DISEÑO AVDA. LOS NOTROS, PTO. MONTT",14/06/2019 09:30:32,10/07/2019 11:00:00,1,1,1,1,1,1,1,1,1
656-34-LR19,Licitacion Publica Mayor a 5000 UTM,Region de los Lagos ,SERVIU X Region,P.P. N° 32-2019 NORMALIZACION SEMAFOROS OSORNO,20/06/2019 08:34:22,12/07/2019 11:00:00,1,1,1,1,1,1,1,1,1
656-36-LP19,Licitacion Publica igual o superior a 1.000 UTM e inferior a 2.000 UTM (LP),Region de los Lagos ,SERVIU X Region,P.P. N 33-2019 DISEÑO P. AGUIRRE C. CHONCHI,21/06/2019 08:09:14,18/07/2019 11:00:00,1,1,1,1,1,1,1,1,1
656-37-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,SERVIU X Region,"P.P. N° 34-2019 DISEÑO PQMB, MAULLIN Y CALBUCO",21/06/2019 08:09:59,18/07/2019 12:00:00,1,1,1,1,1,1,1,1,1
656-38-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,SERVIU X Region,"P.P. N 35-2019 DISEÑO DE PROYECTOS, CHAITEN.",28/06/2019 11:36:23,18/07/2019 16:00:00,1,1,1,1,1,1,1,1,1
657-20-LP19,Licitacion Publica igual o superior a 1.000 UTM e inferior a 2.000 UTM (LP),Region de los Lagos ,SERVIU XI Region,Const. Calz. HCV Calles Coyhaique,12/06/2019 16:19:42,04/07/2019 10:00:00,1,1,1,1,1,1,1,1,1
657-21-LP19,Licitacion Publica igual o superior a 1.000 UTM e inferior a 2.000 UTM (LP),Region de los Lagos ,SERVIU XI Region,CALLES LA JUNTA,12/06/2019 16:03:19,03/07/2019 10:00:00,1,1,1,1,1,1,1,1,1
657-22-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,SERVIU XI Region,cierre perimetral y Acc. Vehic.  delegacion aysen,24/06/2019 12:47:00,10/07/2019 15:30:00,1,1,1,1,1,1,1,1,1
657-23-LR19,Licitacion Publica Mayor a 5000 UTM,Region de los Lagos ,SERVIU XI Region,Macroinfraestructura Chacra G,28/06/2019 11:39:23,31/07/2019 15:00:00,1,1,1,1,1,1,1,1,1
661-4-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,MINISTERIO DE VIVIENDA Y URBANISMO,SERVICIO DE MANTENIMIENTO Y REPARACIoN COMPUTACIONAL E INFORMaTICO SEREMI MAGALLANES ,28/06/2019 15:17:03,09/07/2019 15:37:00,1,1,1,1,1,1,1,1,1
661-6-CO19,Licitacion Privada igual o superior a 100 UTM e inferior a 1000 UTM,Region de los Lagos ,MINISTERIO DE VIVIENDA Y URBANISMO,SERVICIO DE TELEFONIA CELULAR 2019-2020,21/06/2019 15:03:48,03/07/2019 16:15:00,1,0,1,1,1,1,1,1,1
680-20-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Ministerio de Bienes Nacionales.,"Servicio de aseo, limpieza y mantencion para la Oficina Provincial de Bienes Nacionales de Chaiten",26/06/2019 16:52:15,05/07/2019 15:00:00,1,1,1,1,1,1,1,1,1
697-18-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Instituto Antartico Chileno,Contenedores de 20 pies refrigerado y plegable,25/06/2019 11:45:49,09/07/2019 15:00:00,2,2,2,2,2,2,2,2,2
697-19-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Instituto Antartico Chileno,ADQUIRIR 30 ESTANTES ACERO INOXIDABLE,25/06/2019 16:19:47,08/07/2019 16:00:00,1,1,1,1,1,1,1,1,1
697-20-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Instituto Antartico Chileno,"Cajas, Bines y Pallets de Plastico",25/06/2019 15:41:12,10/07/2019 15:00:00,4,4,4,4,4,4,4,4,4
697-21-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Instituto Antartico Chileno,ADQUISICIoN DE EQUIPAMIENTO DE BUCEO,26/06/2019 09:03:06,11/07/2019 15:00:00,1,1,1,1,1,1,1,1,1
697-22-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Instituto Antartico Chileno,ADQUISICIoN  ENFRIADOR DE AGUA DE RECIR. INTERNA,26/06/2019 15:12:58,11/07/2019 16:00:00,1,1,1,1,1,1,1,1,1
697-23-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Instituto Antartico Chileno,Maletas de transporte de compresores y generadores,26/06/2019 15:51:42,08/07/2019 15:01:00,2,2,2,2,2,2,2,2,2
697-25-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Instituto Antartico Chileno,Raciones de Comida Liofilizada,27/06/2019 11:03:25,11/07/2019 14:00:00,1,1,1,1,1,1,1,1,1
697-26-LQ19,Licitacion Publica igual o superior a 2.000 UTM e inferior a 5.000 UTM,Region de los Lagos ,Instituto Antartico Chileno,Servicio Internet Satelital Base Escudero,27/06/2019 16:10:00,17/07/2019 17:00:00,1,1,1,1,1,1,1,1,1
697-27-LP19,Licitacion Publica igual o superior a 1.000 UTM e inferior a 2.000 UTM (LP),Region de los Lagos ,Instituto Antartico Chileno,Vestuario Tecnico Antartico Institucional,28/06/2019 13:24:10,18/07/2019 15:00:00,1,1,1,1,1,1,1,1,1
759035-12-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Hospital Coyhaique,Desarrollo SW  gestion solicitudes de compras HRC,18/06/2019 09:59:51,04/07/2019 17:00:00,1,1,1,1,1,1,1,1,1
807-40-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Corporacion Nacional de Desarrollo Indígena - CONADI,“Muestras Mapuche Williche,26/06/2019 15:33:24,09/07/2019 13:30:00,1,1,1,1,1,1,1,1,1
827-9-LQ19,Licitacion Publica igual o superior a 2.000 UTM e inferior a 5.000 UTM,Region de los Lagos ,Direccion de Arquitectura - MOP,AIFO CONST. CENTRO CERRADO X REGIoN DE LOS LAGOS,10/06/2019 16:24:31,04/07/2019 10:00:00,1,1,1,1,1,1,1,1,1
841-3-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Servicio de Cooperacion Tecnica - SERCOTEC,"INSTRUMENTO DE REDES DE OPORTUNIDADES DE NEGOCIO, SERVICIO DE “VÍNCULO COMERCIAL ENTRE LOS PROVEEDORES DE CONFECCIoN DE ROPA DE TRABAJO  CON LA DEMANDA – REGIoN LOS LAGOS”",28/06/2019 13:09:05,05/07/2019 09:50:00,1,1,1,1,1,1,1,1,1
854-33-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Junta Nacional de Jardines Infantiles - JUNJI,Instalacion cableado estructurado JUNJI XI,01/07/2019 16:56:35,08/07/2019 18:00:00,1,1,1,1,1,1,1,1,1
854-34-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Junta Nacional de Jardines Infantiles - JUNJI,Suministro combustible vehiculos arrendados JUNJI XI,01/07/2019 16:57:06,08/07/2019 15:00:00,1,1,1,1,1,1,1,1,1
854-35-LR19,Licitacion Publica Mayor a 5000 UTM,Region de los Lagos ,Junta Nacional de Jardines Infantiles - JUNJI,Construccion Jardín Infantil Comite de Vivienda Pto. Aysen,02/07/2019 16:05:28,02/08/2019 10:00:00,1,1,1,1,1,1,1,1,1
867990-25-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Universidad de Santiago de Chile,Acrilicos transparentes- Solicitud N41672 C.c 102,01/07/2019 13:17:14,11/07/2019 18:00:00,1,1,1,1,1,1,1,1,1
867990-36-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Universidad de Santiago de Chile,Remodelacion de salas 641 y 642 Departamento de Electricidad - Universidad de Santiago de Chile,25/06/2019 17:49:32,08/07/2019 18:00:00,1,1,1,1,1,1,1,1,1
966131-29-LR19,Licitacion Publica Mayor a 5000 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE CASTRO,CONCESIoN DE SERVICIO DE ASEO DE LA COMUNA DE CAST,28/05/2019 19:42:00,05/07/2019 15:00:00,1,1,1,1,1,1,1,1,1
966131-31-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE CASTRO,ADQ. E INST ELEM. SEGURIDAD VIAL CALLE CAGUACH,28/06/2019 16:41:00,09/07/2019 17:30:00,1,1,1,1,1,1,1,1,1
